Context,Time,True Alt,Vertical Speed,Groundspeed,Prediction Distance,Horizontal Stop Distance,Predicted True Alt at Stop Distance,predicted_fall,Predicted Terrain hieght,time_to_change_speed(horizontal_stop),Vertical speed at stop point,vertical stop time,Vertical stop distance after fall,local g
!!! Ran Brake Warning- SAFE !!!,2295563.535,9253.3,-9.999706699,460.2039651,5428.96,3626.786442,9453.29,161.4337189,4966.506915,23.59381212,-43.83,2.43,53.2,1.43
!!! Ran Brake Warning- SAFE !!!,2295564.095,9171.2,-10.22248136,460.2165028,5429.24,3626.899483,9428.98,156.20198,4985.966126,23.59437762,-44.05,2.44,53.74,1.43
!!! Ran Brake Warning- SAFE !!!,2295564.655,9084.13,-10.4456004,460.2275529,5429.47,3627.004086,9437.82,151.0256216,4975.976356,23.59479027,-44.28,2.45,54.29,1.43
!!! Ran Brake Warning- SAFE !!!,2295565.215,9007.85,-10.66444098,460.2380923,5429.72,3627.104388,9436.82,145.8249176,4977.558111,23.59545377,-44.5,2.46,54.84,1.43
!!! Ran Brake Warning- SAFE !!!,2295565.775,8933.66,-10.88620468,460.2527606,5430.08,3627.25425,9436.16,140.6921664,4975.105482,23.59621649,-44.73,2.47,55.4,1.43
!!! Ran Brake Warning- SAFE !!!,2295566.335,8879.17,-11.10786154,460.2665377,5430.52,3627.443738,9441.83,135.4844775,4968.750791,23.59698903,-44.95,2.49,55.96,1.43
!!! Ran Brake Warning- SAFE !!!,2295566.895,8831.93,-11.32749243,460.283723,5430.84,3627.576347,9435.39,130.2781139,4976.501121,23.5980067,-45.18,2.5,56.52,1.43
!!! Ran Brake Warning- SAFE !!!,2295567.455,8788.17,-11.55117833,460.3042139,5431.29,3627.76814,9435.59,125.28557,4971.810044,23.59911633,-45.4,2.51,57.06,1.43
!!! Ran Brake Warning- SAFE !!!,2295567.995,8745.06,-11.77578423,460.3223621,5431.72,3627.950818,9466.52,120.0982435,4939.685678,23.59967486,-45.62,2.52,57.63,1.43
!!! Ran Brake Warning- SAFE !!!,2295568.555,8727.07,-11.98631945,460.3339134,5431.99,3628.063753,9519.82,114.8800645,4895.098517,23.60045116,-45.84,2.54,58.2,1.43
!!! Ran Brake Warning- SAFE !!!,2295569.115,8679.31,-12.21092595,460.348472,5432.35,3628.211704,9527.64,109.6582125,4888.72899,23.60118186,-46.07,2.55,58.77,1.43
!!! Ran Brake Warning- SAFE !!!,2295569.675,8609.58,-12.42871898,460.3596443,5432.63,3628.337965,9530.13,104.5059785,4886.298788,23.60195368,-46.29,2.56,59.35,1.43
!!! Ran Brake Warning- SAFE !!!,2295570.235,8574.37,-12.65105906,460.3772356,5432.87,3628.451265,9513.41,99.42961251,4900.015765,23.60257206,-46.52,2.57,59.91,1.43
!!! Ran Brake Warning- SAFE !!!,2295570.795,8555.19,-12.87023935,460.387392,5433.18,3628.570153,9498.61,94.24721539,4909.167341,23.60308968,-46.74,2.59,60.5,1.43
!!! Ran Brake Warning- SAFE !!!,2295571.355,8538.4,-13.09431731,460.3949995,5433.52,3628.711693,9605.34,89.01038095,4798.822588,23.60414047,-46.97,2.6,61.09,1.43
!!! Ran Brake Warning- SAFE !!!,2295571.915,8510,-13.31575778,460.4184819,5433.95,3628.894246,9703.45,83.76484526,4723.200465,23.60486606,-47.19,2.61,61.66,1.43
!!! Ran Brake Warning- SAFE !!!,2295572.475,8457.59,-13.53586882,460.4380935,5434.43,3629.096376,9737.07,78.73364371,4691.078178,23.60587099,-47.42,2.62,62.27,1.43
!!! Ran Brake Warning- SAFE !!!,2295573.015,8412.37,-13.7620272,460.4623838,5435.02,3629.355459,9779.8,73.70822326,4652.144146,23.60701308,-47.64,2.64,62.84,1.43
!!! Ran Brake Warning- SAFE !!!,2295573.575,8359.32,-13.97509098,460.4684728,5435.17,3629.536822,9792.28,68.37353361,4643.910849,23.6080334,-47.86,2.65,63.44,1.43
!!! Ran Brake Warning- SAFE !!!,2295574.135,8308.27,-14.19565684,460.4950489,5435.74,3629.688556,9760.35,63.22714359,4669.324135,23.60845016,-48.09,2.66,64.03,1.43
!!! Ran Brake Warning- SAFE !!!,2295574.695,8277.19,-14.41271807,460.5099985,5436.17,3629.844084,9755.52,58.16703416,4667.364632,23.60950695,-48.31,2.67,64.62,1.43
!!! Ran Brake Warning- SAFE !!!,2295575.255,8239.67,-14.6330179,460.5284297,5436.57,3630.013778,9726.26,53.00142845,4693.049467,23.61045427,-48.53,2.69,65.23,1.43
!!! Ran Brake Warning- SAFE !!!,2295575.815,8216.27,-14.85520702,460.5466911,5437.01,3630.190481,9684.74,47.79215793,4727.668173,23.61138338,-48.76,2.7,65.83,1.43
!!! Ran Brake Warning- SAFE !!!,2295576.375,8199.86,-15.076711,460.5663475,5437.52,3630.406835,9600.36,42.61383927,4799.625164,23.61248972,-48.98,2.71,66.45,1.43
!!! Ran Brake Warning- SAFE !!!,2295576.935,8188.37,-15.29884307,460.5876561,5437.99,3630.607611,9501.8,37.41151895,4871.596081,23.61347988,-49.21,2.72,67.07,1.43
!!! Ran Brake Warning- SAFE !!!,2295577.495,8175.81,-15.52309695,460.6109097,5438.53,3630.835833,9517.36,32.14826371,4859.949819,23.61456632,-49.44,2.74,67.69,1.43
!!! Ran Brake Warning- SAFE !!!,2295578.055,8162.37,-15.74467974,460.6296155,5439.02,3631.040292,9518.12,27.2454948,4854.840478,23.61563914,-49.66,2.75,68.28,1.43
!!! Ran Brake Warning- SAFE !!!,2295578.595,8160.44,-15.96623586,460.656401,5439.6,3631.299019,9528.07,21.94675274,4842.905537,23.61704096,-49.88,2.76,68.91,1.43
!!! Ran Brake Warning- SAFE !!!,2295579.155,8168.62,-16.18646796,460.6787264,5440.13,3631.519612,9536.27,16.79916566,4829.867057,23.61784689,-50.11,2.77,69.53,1.43
!!! Ran Brake Warning- SAFE !!!,2295579.715,8162.12,-16.3999639,460.6885084,5440.35,3631.666495,9578.96,11.68653029,4786.709763,23.61858158,-50.33,2.79,70.15,1.43
!!! Ran Brake Warning- SAFE !!!,2295580.275,8180.49,-16.61818353,460.7058496,5440.81,3631.806962,9597.32,6.542348347,4769.756168,23.61957925,-50.55,2.8,70.78,1.43
!!! Ran Brake Warning- SAFE !!!,2295580.835,8223.51,-16.83967963,460.7290441,5441.32,3632.015131,9614.62,1.429709029,4749.963381,23.62064032,-50.78,2.81,71.41,1.43
